,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
2014-01-01,1702473.61,1636237.26,1572053.97,1526610.21,1495115.55,1489990.20,1495013.62,1500080.73,1498595.54,1495202.91,1535506.76,1561919.76,1575548.52,1589861.63,1602442.02,1635101.53,1724765.95,1827360.21,1824127.75,1811314.39,1797423.54,1775116.64,1708647.32,1628432.76,
2014-01-02,1546820.38,1496120.23,1463431.60,1446293.73,1451652.04,1477031.24,1517364.21,1559968.64,1600214.24,1629976.19,1684360.18,1703347.25,1703318.13,1702750.26,1705822.56,1733982.83,1824185.99,1913559.20,1901517.55,1875730.66,1858461.74,1817575.46,1740709.85,1654962.25,
2014-01-03,1572811.12,1514728.73,1469226.73,1464683.81,1466460.21,1499949.68,1559750.23,1640328.80,1714209.49,1748732.76,1796287.81,1806247.29,1802898.34,1795355.93,1794365.81,1805897.83,1905172.27,2012061.92,1994006.73,1971874.56,1942360.14,1898823.83,1814008.11,1721052.99,
2014-01-04,1632597.10,1572330.62,1541826.08,1528983.60,1536846.34,1571617.15,1634446.31,1727765.44,1816265.01,1865421.72,1916471.32,1924523.36,1906555.53,1895052.62,1879865.88,1888645.94,1962482.94,2059733.45,2040440.61,2008494.56,1973388.86,1922615.91,1840552.15,1746039.04,
2014-01-05,1655195.22,1598627.13,1563856.33,1546645.65,1550475.10,1575213.63,1625083.81,1699896.38,1768185.78,1803873.90,1846594.82,1858039.48,1861140.90,1858068.60,1854646.85,1866076.95,1945767.33,2051987.19,2038955.42,2011348.45,1985328.59,1930522.34,1847759.67,1745471.18,
2014-01-06,1651788.03,1593006.73,1564205.78,1551654.51,1560580.18,1593545.47,1656258.14,1749824.81,1843449.72,1894120.74,1943583.24,1945607.16,1939258.73,1940612.86,1940671.11,1941253.53,2015323.50,2102556.29,2083234.33,2041998.60,2001549.14,1954998.78,1871085.81,1766059.92,
2014-01-07,1669289.91,1608761.34,1578082.07,1561832.40,1562065.37,1592409.74,1633354.26,1697493.87,1757294.42,1787697.03,1831102.30,1836315.01,1829937.45,1823632.69,1821171.94,1830228.66,1906118.71,2014668.28,2004359.34,1975092.46,1949815.19,1906817.62,1820982.65,1723106.04,
2014-01-08,1635567.47,1575155.38,1539423.57,1529449.54,1533803.17,1569185.52,1625549.75,1719029.06,1808882.76,1866295.36,1917461.45,1924450.56,1924290.39,1935764.17,1934177.06,1946903.06,2014071.29,2105133.53,2083831.31,2052205.60,2019400.48,1953571.83,1837421.61,1726891.80,
2014-01-09,1636222.70,1574907.85,1550402.30,1541593.11,1555396.60,1626467.07,1767253.89,1947136.03,2083583.78,2107070.09,2115486.14,2083962.36,2075371.58,2078065.30,2071163.56,2065441.22,2106764.32,2159939.77,2139394.71,2094795.47,2048798.41,1975121.58,1854049.86,1734914.72,
2014-01-10,1641333.49,1584386.83,1566899.50,1561279.09,1570000.92,1638566.97,1780606.00,1960895.83,2089306.11,2099920.82,2092873.47,2044357.42,2031165.48,2036436.43,2027059.38,2009936.07,2050618.49,2133672.38,2117932.33,2082826.63,2039829.06,1981295.29,1878686.47,1761546.12,
2014-01-11,1661019.47,1603723.36,1570612.46,1557668.05,1563448.63,1593996.85,1669187.99,1783984.07,1875352.08,1913093.26,1951897.36,1943787.08,1934497.40,1922819.76,1908754.19,1912379.79,1975674.88,2083554.66,2070843.22,2035446.31,1998360.36,1948708.58,1857675.46,1750975.10,
2014-01-12,1651511.37,1586891.26,1554260.87,1534924.34,1532900.41,1560012.32,1599442.53,1658092.78,1704206.33,1741437.88,1794278.44,1812566.60,1819512.03,1818085.09,1818114.21,1836766.39,1915291.91,2045449.47,2043964.28,2022210.69,1991298.45,1922572.23,1811794.89,1696693.04,
2014-01-13,1605048.37,1552717.44,1528299.25,1520116.17,1537457.89,1618240.31,1791322.63,1991647.90,2103182.40,2109953.10,2098071.62,2053632.55,2040659.02,2063388.17,2069853.10,2070683.05,2092946.27,2170874.81,2153431.17,2114961.96,2072270.16,2002786.79,1883957.42,1759609.56,
2014-01-14,1663247.25,1603097.25,1573087.77,1561177.17,1577295.80,1643357.42,1802141.19,1996889.73,2104361.81,2109545.40,2099498.56,2057054.30,2051302.84,2060825.50,2049730.29,2044604.95,2073799.03,2159765.04,2152004.22,2118558.44,2087660.76,2010576.74,1887772.31,1768957.49,
2014-01-15,1668139.62,1619419.73,1596224.63,1584765.40,1597112.83,1668387.16,1833927.06,2035985.05,2151756.69,2176320.49,2164657.42,2110419.04,2097270.78,2111307.24,2104842.31,2101027.43,2121557.93,2215372.13,2208441.26,2165836.83,2122591.73,2056530.11,1923606.04,1796549.90,
2014-01-16,1693911.96,1651802.59,1624355.78,1620351.61,1630456.69,1705094.53,1863994.78,2067960.21,2172753.13,2194870.75,2186338.21,2133555.89,2119301.03,2130716.57,2126523.11,2116854.84,2146500.30,2230194.86,2219813.12,2181256.55,2135463.34,2060461.49,1943029.93,1819672.20,
2014-01-17,1718694.16,1665169.25,1639848.30,1632567.98,1648584.69,1724562.10,1888573.14,2080453.24,2191958.62,2206883.27,2200272.74,2148961.05,2132522.09,2141506.00,2132405.60,2109458.04,2120334.83,2208674.23,2199238.94,2155003.72,2110375.36,2050254.48,1927522.85,1802927.46,
2014-01-18,1715694.67,1661004.91,1635290.82,1617541.40,1622652.19,1670702.30,1758182.62,1899566.42,1988735.78,2029898.70,2047502.52,2024613.19,2009280.84,2001723.87,1990060.80,1991356.69,2037717.77,2167686.03,2174383.93,2137312.54,2095261.41,2034776.52,1934832.29,1832208.91,
2014-01-19,1749839.37,1678739.77,1648934.14,1636848.81,1637999.10,1666931.09,1710380.04,1781523.32,1846347.29,1907050.59,1945985.74,1956192.75,1956061.70,1952552.59,1947980.55,1948970.67,2010169.04,2151713.01,2180979.90,2166666.79,2134589.70,2068076.70,1946670.09,1834174.59,
2014-01-20,1741656.29,1693402.33,1672376.77,1666275.86,1684054.40,1767414.06,1948970.67,2167118.17,2294494.64,2337492.21,2340739.23,2301935.13,2280691.15,2274430.08,2258660.91,2229728.92,2234737.78,2308865.99,2309739.63,2267455.53,2221414.79,2140239.23,2006412.39,1882049.97,
2014-01-21,1783372.52,1735628.19,1705997.29,1700347.76,1708239.62,1783576.37,1950004.48,2159939.77,2268489.34,2294829.53,2283384.87,2230544.31,2208324.78,2206213.48,2189323.14,2166055.24,2168210.22,2263014.54,2291000.09,2246153.32,2198015.84,2121499.68,1993220.45,1866062.39,
2014-01-22,1769991.30,1727255.82,1713190.24,1712767.98,1732803.42,1813411.12,1980465.33,2200054.33,2323310.14,2355867.73,2346898.38,2291043.77,2267368.17,2267149.76,2244507.96,2223074.70,2228010.76,2308997.04,2322698.60,2285248.63,2232262.47,2154042.71,2010795.15,1883870.05,
2014-01-23,1793055.35,1745689.59,1723339.01,1716029.57,1734201.24,1813425.68,1978543.33,2186804.15,2313074.01,2336123.51,2316947.14,2259651.03,2247653.06,2244129.39,2235844.38,2221138.14,2228360.22,2312899.29,2331202.01,2291902.84,2243809.05,2158891.41,2020740.06,1897120.24,
2014-01-24,1799039.77,1751178.95,1727867.37,1718344.71,1734143.00,1814008.11,1983668.67,2198962.29,2318039.19,2338336.72,2321257.09,2274342.71,2254263.59,2254074.30,2234228.15,2205718.42,2218604.59,2305444.24,2327809.38,2290068.20,2245731.06,2178839.48,2057476.55,1930624.27,
2014-01-25,1835179.28,1772947.10,1746344.82,1737026.01,1744859.63,1789225.90,1875454.00,2022705.75,2115879.28,2165618.42,2186017.88,2165094.24,2135259.49,2115733.67,2088825.61,2078880.69,2105279.13,2222739.81,2258311.45,2233558.36,2192613.85,2140195.55,2028122.31,1932983.09,
2014-01-26,1856554.29,1791934.18,1756435.34,1747524.23,1750844.05,1781202.99,1818740.31,1904371.43,1970928.12,2054258.65,2116665.55,2120524.12,2095465.26,2078997.18,2063300.81,2064887.92,2106487.67,2225695.62,2273177.86,2259418.06,2222972.78,2149922.05,2022618.38,1910574.27,
2014-01-27,1817488.10,1765477.50,1744204.40,1740986.50,1757440.02,1841818.93,2017857.06,2235960.87,2366904.70,2411329.21,2402738.43,2354411.67,2337433.96,2328726.70,2313044.89,2291611.63,2283632.40,2342180.73,2373689.95,2340593.62,2291145.69,2219973.29,2079419.44,1957037.27,
2014-01-28,1857180.40,1810033.05,1782091.19,1778713.12,1796680.95,1881030.73,2051404.77,2280516.42,2411387.45,2455156.73,2446231.06,2396899.61,2380373.29,2379528.77,2356333.67,2330022.60,2319014.75,2382732.11,2427724.49,2394642.71,2347422.56,2273206.98,2132871.54,2010023.43,
2014-01-29,1911345.98,1858228.77,1832936.94,1830548.99,1846056.07,1930667.95,2090864.10,2307104.15,2443231.57,2499144.42,2504153.28,2455928.44,2450875.90,2439212.83,2414314.14,2385076.37,2371302.01,2437276.27,2483098.60,2445765.12,2392808.07,2316626.81,2174442.17,2043498.34,
2014-01-30,1940685.67,1886374.48,1857791.95,1856612.54,1870911.09,1955348.23,2104842.31,2319393.33,2460471.36,2524465.37,2535123.76,2489388.79,2467591.52,2452695.98,2428204.99,2409989.63,2402185.13,2446391.23,2471479.21,2440741.70,2386779.97,2303143.66,2167642.35,2032927.32,
2014-01-31,1932677.32,1875730.66,1850482.51,1848021.76,1863223.07,1939637.30,2104711.27,2320077.68,2437582.04,2472964.39,2467052.77,2415813.88,2394016.61,2382266.17,2351062.72,2325028.30,2309128.08,2370209.96,2421026.59,2382921.40,2340127.68,2273949.58,2146733.27,2015381.75,
2014-02-01,2023329.75,1962673.99,1931504.07,1923272.42,1927990.74,1971950.92,2061366.63,2204251.73,2298980.98,2370481.61,2399139.93,2368623.32,2348356.34,2329628.26,2298734.18,2280659.40,2292636.66,2391198.64,2470800.25,2452856.13,2407632.90,2347920.80,2235581.34,2124098.44,
2014-02-02,2034348.83,1964401.62,1935307.76,1923795.07,1926901.90,1961962.61,2011178.27,2093625.38,2155950.70,2260116.58,2315618.49,2304788.14,2276725.05,2255340.20,2238557.51,2241649.82,2278626.90,2387728.87,2458242.27,2444203.47,2407473.20,2337235.63,2189109.57,2056764.45,
