,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2014-01-01,859464.00,835989.00,798472.00,763290.00,741942.00,728994.00,730879.00,734536.00,740316.00,738531.00,768368.00,782091.00,788393.00,787279.00,783190.00,797952.00,828346.00,906225.00,968149.00,969604.00,954700.00,935976.00,887640.00,830137.00
2014-01-02,783129.00,731053.00,704018.00,692073.00,690622.00,702530.00,731259.00,763824.00,798123.00,830135.00,872525.00,890521.00,898330.00,896669.00,890941.00,892812.00,914488.00,978945.00,1035371.00,1035647.00,1018600.00,985792.00,926662.00,858797.00
2014-01-03,800920.00,746559.00,713610.00,699861.00,693511.00,712721.00,747786.00,792986.00,849589.00,898630.00,942580.00,963903.00,969133.00,961143.00,957567.00,959372.00,975834.00,1038388.00,1082881.00,1075330.00,1054658.00,1025986.00,972036.00,898782.00
2014-01-04,832543.00,773131.00,749337.00,739229.00,732236.00,747010.00,785501.00,829214.00,882119.00,925017.00,968222.00,985194.00,980975.00,976513.00,980792.00,978944.00,990903.00,1050866.00,1083106.00,1081660.00,1085220.00,1053282.00,987647.00,914099.00
2014-01-05,848469.00,789261.00,761613.00,749626.00,750239.00,761435.00,791220.00,808056.00,853095.00,893920.00,938803.00,951026.00,951535.00,968661.00,967787.00,960792.00,978470.00,1048618.00,1108294.00,1097747.00,1083919.00,1051162.00,985007.00,919340.00
2014-01-06,849712.00,798109.00,771808.00,751606.00,750880.00,764205.00,798307.00,838524.00,897883.00,947990.00,986903.00,997533.00,1000941.00,1000179.00,996206.00,1002359.00,1027298.00,1083420.00,1122248.00,1116191.00,1094127.00,1063029.00,1001452.00,935400.00
2014-01-07,860996.00,794933.00,763849.00,746948.00,742400.00,756778.00,785526.00,818358.00,857962.00,886205.00,909687.00,919297.00,919685.00,911270.00,909889.00,903067.00,917103.00,975074.00,1041116.00,1039442.00,1030093.00,992009.00,950984.00,885574.00
2014-01-08,821498.00,769509.00,733506.00,708425.00,702128.00,718406.00,753641.00,792858.00,847209.00,887032.00,933620.00,955617.00,953324.00,952147.00,952506.00,945033.00,968822.00,1041484.00,1100729.00,1101797.00,1077344.00,1037958.00,962264.00,878340.00
2014-01-09,805839.00,748582.00,721639.00,709653.00,714510.00,751595.00,844011.00,935226.00,999405.00,1039258.00,1055365.00,1049729.00,1045589.00,1053783.00,1060876.00,1054150.00,1066371.00,1105840.00,1160090.00,1152340.00,1123886.00,1088321.00,1003798.00,903008.00
2014-01-10,837355.00,792370.00,767595.00,753765.00,759509.00,794066.00,888328.00,982476.00,1053294.00,1079963.00,1089398.00,1063232.00,1039896.00,1039227.00,1019620.00,1016797.00,1019699.00,1080853.00,1153381.00,1144878.00,1115597.00,1083691.00,1008820.00,923415.00
2014-01-11,851520.00,793452.00,766833.00,750237.00,740913.00,766533.00,806284.00,859637.00,919675.00,959013.00,1001874.00,1013923.00,1005441.00,976141.00,973553.00,980837.00,1003273.00,1068387.00,1128154.00,1118359.00,1096360.00,1061407.00,993826.00,922401.00
2014-01-12,848162.00,787605.00,764166.00,748912.00,742271.00,756077.00,778508.00,818775.00,853864.00,881117.00,936697.00,957739.00,939906.00,935522.00,930519.00,951851.00,965557.00,1037239.00,1094433.00,1098428.00,1075408.00,1036781.00,979552.00,903322.00
2014-01-13,834108.00,776322.00,754675.00,743398.00,746070.00,784822.00,883487.00,981822.00,1065499.00,1091050.00,1103991.00,1114911.00,1089886.00,1085521.00,1071261.00,1073210.00,1053768.00,1090349.00,1159463.00,1151202.00,1122565.00,1082902.00,1009851.00,924971.00
2014-01-14,854178.00,801170.00,764502.00,759417.00,767049.00,798194.00,875756.00,996888.00,1074554.00,1120215.00,1162468.00,1146485.00,1123652.00,1110737.00,1100898.00,1091971.00,1089445.00,1132487.00,1219590.00,1226929.00,1203238.00,1154155.00,1071495.00,979175.00
2014-01-15,901604.00,844717.00,817226.00,805424.00,811201.00,858356.00,967472.00,1090269.00,1168652.00,1207019.00,1184660.00,1168178.00,1152725.00,1153672.00,1141639.00,1141185.00,1147716.00,1187059.00,1256755.00,1257882.00,1232718.00,1186672.00,1104237.00,1012641.00
2014-01-16,934740.00,869429.00,850120.00,839250.00,844164.00,885462.00,990451.00,1108563.00,1194087.00,1229924.00,1225427.00,1211370.00,1190137.00,1186104.00,1168740.00,1148882.00,1139879.00,1186353.00,1270334.00,1270880.00,1238298.00,1197425.00,1114620.00,1017664.00
2014-01-17,938114.00,886616.00,851337.00,848320.00,851957.00,886090.00,984885.00,1084966.00,1153867.00,1186975.00,1188333.00,1177943.00,1160769.00,1154194.00,1146919.00,1146101.00,1151413.00,1195503.00,1255486.00,1251445.00,1217158.00,1180422.00,1104692.00,1017794.00
2014-01-18,941438.00,881117.00,866926.00,848070.00,845798.00,858725.00,899131.00,969794.00,1029604.00,1067870.00,1101471.00,1105663.00,1099339.00,1096459.00,1084843.00,1086186.00,1098512.00,1158036.00,1223565.00,1213640.00,1194069.00,1160030.00,1102285.00,1032220.00
2014-01-19,972815.00,920520.00,887260.00,871191.00,865739.00,872646.00,894534.00,922081.00,975182.00,1018713.00,1047666.00,1059210.00,1056606.00,1045096.00,1041444.00,1038276.00,1046128.00,1105208.00,1221354.00,1249749.00,1236507.00,1207134.00,1134676.00,1042974.00
2014-01-20,967054.00,903982.00,877313.00,876846.00,882598.00,918177.00,1033506.00,1172065.00,1259513.00,1300643.00,1308870.00,1278313.00,1265670.00,1268787.00,1254001.00,1233139.00,1230240.00,1254133.00,1339127.00,1355229.00,1348565.00,1301451.00,1217325.00,1108629.00
2014-01-21,1038156.00,989593.00,971589.00,963956.00,966323.00,1004364.00,1098255.00,1211608.00,1306196.00,1342799.00,1348440.00,1338153.00,1312752.00,1295928.00,1281985.00,1269607.00,1253595.00,1284800.00,1380170.00,1392682.00,1357786.00,1312295.00,1225317.00,1133216.00
2014-01-22,1056154.00,1013440.00,994965.00,983502.00,986993.00,1026675.00,1130066.00,1252777.00,1335428.00,1356982.00,1362491.00,1351390.00,1329974.00,1312809.00,1306078.00,1294133.00,1293334.00,1319951.00,1387147.00,1390798.00,1359105.00,1307950.00,1235835.00,1128923.00
2014-01-23,1056089.00,1016870.00,986494.00,959486.00,978455.00,1026670.00,1116087.00,1213485.00,1279790.00,1320583.00,1322872.00,1304156.00,1290049.00,1279100.00,1260850.00,1240213.00,1226018.00,1245611.00,1325827.00,1334612.00,1305222.00,1259964.00,1187116.00,1085589.00
2014-01-24,1013643.00,970411.00,955615.00,943821.00,941144.00,982592.00,1076825.00,1186713.00,1265163.00,1293859.00,1286334.00,1260868.00,1239862.00,1231175.00,1212394.00,1183289.00,1172325.00,1194482.00,1292073.00,1315964.00,1292472.00,1249339.00,1177345.00,1090636.00
2014-01-25,1018461.00,965287.00,938084.00,926097.00,929966.00,945059.00,992103.00,1059811.00,1124639.00,1177846.00,1194897.00,1201547.00,1191728.00,1167628.00,1156717.00,1151703.00,1147518.00,1184392.00,1282699.00,1308696.00,1283804.00,1250204.00,1178624.00,1110892.00
2014-01-26,1048871.00,983302.00,961148.00,951958.00,941624.00,956481.00,988259.00,1033396.00,1092235.00,1150321.00,1185060.00,1197986.00,1194573.00,1174517.00,1160793.00,1152316.00,1149004.00,1202192.00,1303140.00,1339472.00,1317037.00,1274258.00,1195048.00,1117034.00
2014-01-27,1045108.00,997469.00,975849.00,964803.00,976140.00,1017417.00,1126169.00,1248698.00,1339879.00,1382222.00,1392496.00,1375473.00,1356850.00,1341093.00,1325538.00,1312854.00,1296360.00,1310693.00,1402847.00,1413372.00,1387119.00,1340859.00,1257068.00,1159549.00
2014-01-28,1081614.00,1033057.00,1021921.00,1014359.00,1016369.00,1052085.00,1161723.00,1283133.00,1366835.00,1414608.00,1426900.00,1402501.00,1372816.00,1360831.00,1346451.00,1335830.00,1334223.00,1356744.00,1434687.00,1448896.00,1416938.00,1370303.00,1281485.00,1186829.00
